+---------+--------------+-------------+
| Decimal |   Binario    | Hexadecimal |
+---------+--------------+-------------+
|    1    |      1       |      1      |
|    1    |      1       |      1      |
|    1    |      1       |      1      |
|    1    |      1       |      1      |
|    1    |      1       |      1      |
|    1    |      1       |      1      |
|    1    |      1       |      1      |
|    1    |      1       |      1      |
|    1    |      1       |      1      |
|    1    |      1       |      1      |
|    2    |      10      |      2      |
|    3    |      11      |      3      |
|    4    |     100      |      4      |
|    5    |     101      |      5      |
|    6    |     110      |      6      |
|    7    |     111      |      7      |
|    8    |     1000     |      8      |
|    9    |     1001     |      9      |
|    10   |     1010     |      A      |
|    11   |     1011     |      B      |
|    12   |     1100     |      C      |
|    13   |     1101     |      D      |
|    14   |     1110     |      E      |
|    15   |     1111     |      F      |
|    16   |    10000     |      10     |
|    17   |    10001     |      11     |
|    18   |    10010     |      12     |
|    19   |    10011     |      13     |
|    20   |    10100     |      14     |
|    21   |    10101     |      15     |
|    22   |    10110     |      16     |
|    23   |    10111     |      17     |
|    24   |    11000     |      18     |
|    25   |    11001     |      19     |
|    26   |    11010     |      1A     |
|    27   |    11011     |      1B     |
|    28   |    11100     |      1C     |
|    29   |    11101     |      1D     |
|    30   |    11110     |      1E     |
|    31   |    11111     |      1F     |
|    32   |    100000    |      20     |
|    33   |    100001    |      21     |
|    34   |    100010    |      22     |
|    35   |    100011    |      23     |
|    36   |    100100    |      24     |
|    37   |    100101    |      25     |
|    38   |    100110    |      26     |
|    39   |    100111    |      27     |
|    40   |    101000    |      28     |
|    41   |    101001    |      29     |
|    42   |    101010    |      2A     |
|    43   |    101011    |      2B     |
|    44   |    101100    |      2C     |
|    45   |    101101    |      2D     |
|    46   |    101110    |      2E     |
|    47   |    101111    |      2F     |
|    48   |    110000    |      30     |
|    49   |    110001    |      31     |
|    50   |    110010    |      32     |
|    51   |    110011    |      33     |
|    52   |    110100    |      34     |
|    53   |    110101    |      35     |
|    54   |    110110    |      36     |
|    55   |    110111    |      37     |
|    56   |    111000    |      38     |
|    57   |    111001    |      39     |
|    58   |    111010    |      3A     |
|    59   |    111011    |      3B     |
|    60   |    111100    |      3C     |
|    61   |    111101    |      3D     |
|    62   |    111110    |      3E     |
|    63   |    111111    |      3F     |
|    64   |   1000000    |      40     |
|    65   |   1000001    |      41     |
|    66   |   1000010    |      42     |
|    67   |   1000011    |      43     |
|    68   |   1000100    |      44     |
|    69   |   1000101    |      45     |
|    70   |   1000110    |      46     |
|    71   |   1000111    |      47     |
|    72   |   1001000    |      48     |
|    73   |   1001001    |      49     |
|    74   |   1001010    |      4A     |
|    75   |   1001011    |      4B     |
|    76   |   1001100    |      4C     |
|    77   |   1001101    |      4D     |
|    78   |   1001110    |      4E     |
|    79   |   1001111    |      4F     |
|    80   |   1010000    |      50     |
|    81   |   1010001    |      51     |
|    82   |   1010010    |      52     |
|    83   |   1010011    |      53     |
|    84   |   1010100    |      54     |
|    85   |   1010101    |      55     |
|    86   |   1010110    |      56     |
|    87   |   1010111    |      57     |
|    88   |   1011000    |      58     |
|    89   |   1011001    |      59     |
|    90   |   1011010    |      5A     |
|    91   |   1011011    |      5B     |
|    92   |   1011100    |      5C     |
|    93   |   1011101    |      5D     |
|    94   |   1011110    |      5E     |
|    95   |   1011111    |      5F     |
|    96   |   1100000    |      60     |
|    97   |   1100001    |      61     |
|    98   |   1100010    |      62     |
|    99   |   1100011    |      63     |
|   100   |   1100100    |      64     |
|   101   |   1100101    |      65     |
|   102   |   1100110    |      66     |
|   103   |   1100111    |      67     |
|   104   |   1101000    |      68     |
|   105   |   1101001    |      69     |
|   106   |   1101010    |      6A     |
|   107   |   1101011    |      6B     |
|   108   |   1101100    |      6C     |
|   109   |   1101101    |      6D     |
|   110   |   1101110    |      6E     |
|   111   |   1101111    |      6F     |
|   112   |   1110000    |      70     |
|   113   |   1110001    |      71     |
